x,z,type,arrived
30.0,30.0,static,False
51.21320343559643,51.21320343559643,start,False
51.21320343559643,51.21320343559643,dynamic,False
53.76083321281797,52.890443943245145,dynamic,False
56.64169881224956,54.74783673322929,dynamic,False
59.81802779343638,56.760730811369015,dynamic,False
63.25204771592358,58.90447518348445,dynamic,False
66.90598613925637,61.154418855395754,dynamic,False
70.74207062297992,63.48591083292305,dynamic,False
74.72252872663938,65.8743001218865,dynamic,False
78.80958800977996,68.29493572810625,dynamic,False
82.96547603194682,70.72316665740244,dynamic,False
87.15242035268514,73.1343419155952,dynamic,False
91.33264853154012,75.50381050850469,dynamic,False
95.46838812805689,77.80692144195106,dynamic,False
99.52186670178065,80.01902372175442,dynamic,False
103.45531181225661,82.11546635373496,dynamic,False
107.23095101902987,84.0715983437128,dynamic,False
110.8110118816457,85.86276869750807,dynamic,False
114.1577219596492,87.46432642094092,dynamic,False
117.23330881258556,88.85162051983151,dynamic,False
120.0,90.0,dynamic,False
120.0,90.0,out,False
150.0,90.0,static,False
90.0,90.0,static,False
120.0,90.0,start,False
120.0,90.0,dynamic,False
121.61831170724595,90.87038926957281,dynamic,False
123.30660446129173,91.89386207902027,dynamic,False
125.05175681586236,93.05729698206734,dynamic,False
126.84064732468289,94.34757253243913,dynamic,False
128.66015454147833,95.75156728386062,dynamic,False
130.49715701997374,97.25615979005684,dynamic,False
132.33853331389415,98.84822860475288,dynamic,False
134.17116197696456,100.5146522816737,dynamic,False
135.98192156291006,102.24230937454439,dynamic,False
137.7576906254556,104.01807843708995,dynamic,False
139.4853477183263,105.82883802303543,dynamic,False
141.1517713952471,107.66146668610584,dynamic,False
142.74384020994316,109.50284298002624,dynamic,False
144.24843271613938,111.33984545852165,dynamic,False
145.65242746756087,113.1593526753171,dynamic,False
146.94270301793264,114.94824318413762,dynamic,False
148.10613792097973,116.69339553870826,dynamic,False
149.12961073042717,118.38168829275405,dynamic,False
150.0,120.0,dynamic,False
150.0,120.0,out,False
150.0,150.0,static,False
150.0,90.0,static,False
150.0,120.0,start,False
150.0,120.0,dynamic,False
150.87038926957283,121.61831170724595,dynamic,False
151.89386207902024,123.30660446129173,dynamic,False
153.05729698206738,125.05175681586236,dynamic,False
154.34757253243913,126.84064732468289,dynamic,False
155.75156728386062,128.66015454147833,dynamic,False
157.25615979005687,130.49715701997374,dynamic,False
158.84822860475288,132.33853331389415,dynamic,False
160.51465228167373,134.17116197696456,dynamic,False
162.2423093745444,135.98192156291006,dynamic,False
164.01807843708994,137.7576906254556,dynamic,False
165.82883802303542,139.4853477183263,dynamic,False
167.66146668610583,141.1517713952471,dynamic,False
169.50284298002626,142.74384020994316,dynamic,False
171.33984545852167,144.24843271613938,dynamic,False
173.1593526753171,145.65242746756087,dynamic,False
174.94824318413762,146.94270301793264,dynamic,False
176.69339553870827,148.10613792097973,dynamic,False
178.38168829275403,149.12961073042717,dynamic,False
180.0,150.0,dynamic,False
180.0,150.0,out,False
210.0,150.0,static,False
150.0,150.0,static,False
180.0,150.0,start,False
180.0,150.0,dynamic,False
182.4887009768188,150.0,dynamic,False
185.20046654031196,150.0,dynamic,False
188.10905379792973,150.0,dynamic,False
191.18821985712202,150.0,dynamic,False
194.41172182533896,150.0,dynamic,False
197.7533168100306,150.0,dynamic,False
201.18676191864702,150.0,dynamic,False
204.6858142586383,150.0,dynamic,False
208.22423093745445,150.0,dynamic,False
211.77576906254555,150.0,dynamic,False
215.3141857413617,150.0,dynamic,False
218.81323808135298,150.0,dynamic,False
222.24668318996936,150.0,dynamic,False
225.58827817466104,150.0,dynamic,False
228.81178014287798,150.0,dynamic,False
231.89094620207027,150.0,dynamic,False
234.79953345968804,150.0,dynamic,False
237.51129902318124,150.0,dynamic,False
240.0,150.0,dynamic,False
240.0,150.0,out,False
270.0,150.0,static,False
210.0,150.0,static,False
240.0,150.0,start,False
240.0,150.0,dynamic,False
241.61831170724597,150.87038926957283,dynamic,False
243.30660446129173,151.89386207902024,dynamic,False
245.05175681586238,153.05729698206738,dynamic,False
246.84064732468292,154.34757253243913,dynamic,False
248.66015454147833,155.75156728386062,dynamic,False
250.49715701997374,157.25615979005687,dynamic,False
252.33853331389415,158.84822860475288,dynamic,False
254.17116197696456,160.51465228167373,dynamic,False
255.98192156291006,162.2423093745444,dynamic,False
257.7576906254556,164.01807843708994,dynamic,False
259.4853477183263,165.82883802303542,dynamic,False
261.1517713952471,167.66146668610583,dynamic,False
262.74384020994313,169.50284298002626,dynamic,False
264.2484327161394,171.33984545852167,dynamic,False
265.6524274675608,173.1593526753171,dynamic,False
266.9427030179326,174.94824318413762,dynamic,False
268.1061379209798,176.69339553870827,dynamic,False
269.1296107304272,178.38168829275403,dynamic,False
270.0,180.0,dynamic,False
270.0,180.0,out,False
270.0,210.0,static,False
270.0,150.0,static,False
270.0,180.0,start,False
270.0,180.0,dynamic,False
270.0,182.4887009768188,dynamic,False
270.0,185.20046654031196,dynamic,False
270.0,188.10905379792973,dynamic,False
270.0,191.18821985712202,dynamic,False
270.0,194.41172182533896,dynamic,False
270.0,197.7533168100306,dynamic,False
270.0,201.18676191864702,dynamic,False
270.0,204.6858142586383,dynamic,False
270.0,208.22423093745445,dynamic,False
270.0,211.77576906254555,dynamic,False
270.0,215.3141857413617,dynamic,False
270.0,218.81323808135298,dynamic,False
270.0,222.24668318996936,dynamic,False
270.0,225.58827817466104,dynamic,False
270.0,228.81178014287798,dynamic,False
270.0,231.89094620207027,dynamic,False
270.0,234.79953345968804,dynamic,False
270.0,237.51129902318124,dynamic,False
